gate,passed,max_residual,residual_threshold,selection_gap,selection_gap_threshold,corr_value,corr_threshold,note,source_csv
Exact parent-kernel excess functional,1,1.3010426069826053e-18,1e-12,1.5003288724438247e-07,1e-07,nan,,The mismatch functional is reproduced exactly by the projected parent-kernel excess objective.,paper/hll_uv_action_loop_eymh_parent_kernel_statement_summary_D21E21_fix.csv
Participation/tree block split,1,7.771561172376096e-16,1e-12,nan,nan,1.0,0.999999999999,The response action closes as an exact split between participation and shell-background/tree sectors.,paper/hll_uv_action_loop_eymh_block_split_audit_summary_D21E21_fix.csv
Background-normalized parent block determinant,1,5.551115123125783e-16,1e-12,1.5003288724437651e-07,1e-07,nan,,The response action equals a block-determinant / Schur-complement factorization to machine precision.,paper/hll_uv_action_loop_eymh_parent_blockdet_audit_summary_D21E21_fix.csv
Geometric-mean mixed block,1,4.440892098500626e-16,1e-12,0.001315712442470307,1e-07,nan,,The symmetric excess family uniquely selects the geometric-mean mixed entry.,paper/hll_uv_action_loop_eymh_parent_mix_geomean_audit_summary_D21E21_fix.csv
Reject ratio-warp extension,1,0.0,1e-12,0.000717730490718882,1e-07,nan,,The first ratio-warped deformation of the mixed block is rejected.,paper/hll_uv_action_loop_eymh_parent_ratio_warp_audit_summary_D21E21_fix.csv
Symmetry/normalization coordinates fixed,1,4.440892098500626e-16,1e-12,0.0006609429764630192,1e-07,nan,,"The canonical point enforces zero normalization shift, unit symmetric degree, and zero tilt.",paper/hll_uv_action_loop_eymh_parent_symnorm_audit_summary_D21E21_fix.csv
Local generator-affinity closed,1,4.440892098500626e-16,1e-12,0.00027577096730446726,1e-07,nan,,First local log-curvature corrections are rejected; the surviving class is locally affine.,paper/hll_uv_action_loop_eymh_parent_generator_affinity_audit_summary_D21E21_fix.csv
Reference offsets fixed at identity/background,1,0.0,1e-12,0.045273863863531494,0.001,nan,,The excess variables are anchored exactly on the identity participation block and shell-background tree block.,paper/hll_uv_action_loop_eymh_excess_coordinate_audit_summary_D21E21_fix.csv
Linear excess variables selected,1,4.440892098500626e-16,1e-12,0.0020213272973224478,0.001,nan,,"Even within tangent-normalized Box-Cox warps, the linear additive excess coordinates remain uniquely exact.",paper/hll_uv_action_loop_eymh_fixedpoint_boxcox_audit_summary_D21E21_fix.csv
Zero-second-jet normal coordinates,1,0.0,1e-12,0.0020994781304852217,0.001,nan,,"The normal-coordinate audit selects zero second jet, i.e. the linear excess variables themselves.",paper/hll_uv_action_loop_eymh_normal_coordinate_audit_summary_D21E21_fix.csv
